n,p,q,rho,method,n_sims,n_fail,imse_mean,imse_std,imse_median,ref_paper
100,1,2,0.5,HMS,50,0,0.0354563387612715,0.018714265834978,0.0328346238103695,
100,1,2,1.0,HMS,50,0,0.0882346140828312,0.0724331656224865,0.0580678535818955,
100,1,2,2.0,HMS,50,0,0.5004330647917259,0.3845084735752754,0.4298472638659121,
100,2,3,0.5,HMS,50,0,0.0416981052359231,0.0184481019648153,0.0380851122892216,
100,2,3,1.0,HMS,50,0,0.1013568925725221,0.0641098196944366,0.0774775789101514,
100,2,3,2.0,HMS,50,0,0.472393432540335,0.2844193096593054,0.3751325577365285,
100,3,3,0.5,HMS,50,0,0.0500708003573802,0.02103009813035,0.0456817874731165,
100,3,3,1.0,HMS,50,0,0.138834259786532,0.075861465740826,0.1170672443300946,
100,3,3,2.0,HMS,50,0,0.6703500269492834,0.3925097947906484,0.5995332614183329,
200,1,2,0.5,HMS,50,0,0.0218910895580305,0.0104144611372616,0.0207557581074675,
200,1,2,1.0,HMS,50,0,0.0505103525621958,0.0536160949134803,0.0373280849174025,
200,1,2,2.0,HMS,50,0,0.3781726414694448,0.3337035669795655,0.2797473422571722,
200,2,3,0.5,HMS,50,0,0.0313523526709113,0.0151822350340538,0.0303528508600687,
200,2,3,1.0,HMS,50,0,0.0822999741729575,0.0403923977933485,0.0791600566292656,
200,2,3,2.0,HMS,50,0,0.4864640864584303,0.2253245850474412,0.4728735180291899,
200,3,3,0.5,HMS,50,0,0.035735284366874,0.0212619756121755,0.0280893416450901,
200,3,3,1.0,HMS,50,0,0.090018354476853,0.0565287060640162,0.0787645637784225,
200,3,3,2.0,HMS,50,0,0.5146506323072064,0.2928228208350903,0.4826502192319991,
400,1,2,0.5,HMS,50,0,0.016039511278102,0.0066458832422857,0.0151730551027908,
400,1,2,1.0,HMS,50,0,0.0349876046816203,0.0232349452153444,0.0292348081619017,
400,1,2,2.0,HMS,50,0,0.3001756332362407,0.257198818943519,0.238903887953959,
400,2,3,0.5,HMS,50,0,0.0254219866868212,0.0097784665396648,0.0247620660522523,
400,2,3,1.0,HMS,50,0,0.0544088885774905,0.03387921576815,0.0492679607474403,
400,2,3,2.0,HMS,50,0,0.3476545764612402,0.221470298674615,0.3328526925621773,
400,3,3,0.5,HMS,50,0,0.0220098890181059,0.0098672150744477,0.0205994397332781,
400,3,3,1.0,HMS,50,0,0.0517185172944863,0.0292324156210027,0.0492346468135413,
400,3,3,2.0,HMS,50,0,0.3750745199847988,0.2123691870464014,0.3219218843904491,
100,1,2,0.0,HMS,100,0,0.03078793835305555,0.017571503096815752,0.027471986386295,0.0274
200,1,2,0.0,HMS,100,0,0.018766381607741387,0.010439519356820474,0.017632590529455483,0.0187
400,1,2,0.0,HMS,100,0,0.012189599017345107,0.006695093326464157,0.01149267340407295,0.0113
100,2,3,0.0,HMS,100,0,0.03616580010476449,0.023276499353340453,0.03301459160501326,0.0388
200,2,3,0.0,HMS,100,0,0.026799946538421406,0.015560822078444777,0.02419121664763583,0.0263
400,2,3,0.0,HMS,100,0,0.01940130740283679,0.0086279061057015,0.0168221696608278,0.017
100,3,3,0.0,HMS,100,0,0.040720928151477646,0.025851464455201745,0.034841991313527984,0.0437
200,3,3,0.0,HMS,100,0,0.02589093216040482,0.013956166046452365,0.023701094127669988,0.0293
400,3,3,0.0,HMS,100,0,0.018829856042212767,0.008225683011972785,0.01780850707802182,0.0192
