n,p,q,rho,method,n_sims,n_fail,imse_mean,imse_std,imse_median,ref_paper
100,1,1,0.0,HMS,100,0,0.015163853810252037,0.011294539220387322,0.011817305116257566,0.0161
100,1,1,0.5,HMS,100,0,0.019091822441266934,0.017024778921345796,0.014720625926126085,0.0216
100,1,1,1.0,HMS,100,0,0.0553245679160988,0.07000439684508893,0.02905467755804394,0.0571
100,1,1,2.0,HMS,100,0,0.4081429848673149,0.4047752165995138,0.25162287261568894,0.4107
100,2,2,0.0,HMS,100,0,0.0698767046152978,0.05922482976310967,0.041662364922524245,0.0344
100,2,2,0.5,HMS,100,0,0.09196132833360275,0.08359336789943196,0.05251254195684311,0.0438
100,2,2,1.0,HMS,100,0,0.17606129259085712,0.1485946799429093,0.11418639121691684,0.1057
100,2,2,2.0,HMS,100,0,0.6891251313339012,0.4763838371870781,0.5556516407058051,0.5573
200,1,1,0.0,HMS,100,0,0.00940540872541304,0.007234429729869031,0.007407869728486193,0.0082
200,1,1,0.5,HMS,100,0,0.010034219522343348,0.007421839186071723,0.008693230587574579,0.0118
200,1,1,1.0,HMS,100,0,0.02340850135585653,0.022642528931415818,0.01909432173953509,0.0303
200,1,1,2.0,HMS,100,0,0.22762190021652093,0.22686567696458873,0.15155639886650252,0.2902
200,2,2,0.0,HMS,100,0,0.03205098919772739,0.024856231502654483,0.02694339085231426,0.0228
200,2,2,0.5,HMS,100,0,0.04441688414689082,0.049945282634293285,0.03294628115611558,0.0293
200,2,2,1.0,HMS,100,0,0.10387865571618823,0.11272883077086188,0.06726449958711472,0.0686
200,2,2,2.0,HMS,100,0,0.50198277491153,0.35709780294792487,0.4305008209893826,0.4266
400,1,1,0.0,HMS,100,0,0.004263999805391202,0.00373565762815032,0.003263486477571131,0.0042
400,1,1,0.5,HMS,100,0,0.006959771961431235,0.007866785588509936,0.004906887408800062,0.0063
400,1,1,1.0,HMS,100,0,0.01792365394748733,0.02736836275420233,0.009462757982698536,0.0166
400,1,1,2.0,HMS,100,0,0.161526492302844,0.19904226194716476,0.08792386073095287,0.198
400,2,2,0.0,HMS,100,0,0.022146641647956388,0.021737782590311103,0.01734135088917962,0.0153
400,2,2,0.5,HMS,100,0,0.025457708620962794,0.016108860488680092,0.02137353877369938,0.0198
400,2,2,1.0,HMS,100,0,0.05061176095815122,0.0494164505150177,0.040767986494749615,0.0408
400,2,2,2.0,HMS,100,0,0.3249193184238801,0.20218877585065995,0.2905204768868594,0.2907
800,1,1,0.0,HMS,100,0,0.002216451982715952,0.0026354892878923957,0.0015853995594978104,0.0021
800,1,1,0.5,HMS,100,0,0.003128269628415512,0.002757098805504134,0.002552990121809379,
800,1,1,1.0,HMS,100,0,0.008910519702984017,0.00925677502672854,0.005416813865936104,
800,1,1,2.0,HMS,100,0,0.11704221672668029,0.1339753753844511,0.06604197877305013,
800,2,2,0.0,HMS,100,0,0.01367405002643308,0.0071942919008581435,0.012072811744733791,0.0111
800,2,2,0.5,HMS,100,0,0.01899658377808238,0.010728690429848416,0.017889867082367512,
800,2,2,1.0,HMS,100,0,0.03012105229815369,0.01447825056504832,0.029098006817415718,
800,2,2,2.0,HMS,100,0,0.23319717812762317,0.15980876932368127,0.20278808304646298,
