n,p,q,rho,method,n_sims,n_fail,imse_mean,imse_std,imse_median,ref_paper
100,1,1,0.0,HMS,100,0,0.0152006477305617,0.0113103593029534,0.0118252998667153,0.0161
100,1,2,0.0,HMS,100,0,0.0307879383530574,0.017571503096815,0.027471986386295,0.0274
100,2,1,0.0,HMS,100,0,0.0307879383509272,0.0175715030964841,0.0274719863836716,
100,2,2,0.0,HMS,100,0,0.0326087560256979,0.0154214347758819,0.0313569618373382,0.0344
200,1,1,0.0,HMS,100,0,0.0096047211541186,0.0073285309501121,0.0075893550776397,0.0082
200,1,2,0.0,HMS,100,0,0.0187663816077411,0.0104395193568203,0.0176325905294557,0.0187
200,2,1,0.0,HMS,100,0,0.0187663816062499,0.0104395193562824,0.0176325905281293,
200,2,2,0.0,HMS,100,0,0.0259134697148441,0.0118067991050067,0.0253281715826568,0.0228
400,1,1,0.0,HMS,100,0,0.0042741483196928,0.0037236514822475,0.0032637429777761,0.0042
400,1,2,0.0,HMS,100,0,0.0121895990173452,0.0066950933264642,0.0114926734040727,0.0113
400,2,1,0.0,HMS,100,0,0.0121895990164301,0.0066950933261154,0.0114926734033208,
400,2,2,0.0,HMS,100,0,0.0197143710912448,0.0076105290535711,0.0184267230221574,0.0153
