n,t,farmid,year,y1,y2,y3,y4,p1,p2,p3,p4,x1,x2,x3,x4,x5,x6,w1,w2,w3,w4,w5,w6
1307,1,1307,1998,88.088997,207.31142,265.55283,73.080429,4.1901202,1.0922559,1.002804,1.214664,205,4.027,149.70079,313.14301,296.46982,866.58661,.28718799,129.48178,1.1840621,.97102499,.036486998,.111815
1307,2,1307,1999,91.349998,169.16405,252.97246,107.86266,4.1741505,.95379573,1.0021182,1.189656,205,3.974,146.08922,286.37439,334.36911,791.7912,.2784301,140.25629,1.1608925,.95264518,.035666667,.12655914
1307,3,1307,2000,89.641998,214.36734,260.77777,107.15989,4.2394314,.92932796,.99403507,1.1234493,205,4.5599999,152.58157,288.18301,289.33493,680.15381,.30456966,139.10466,1.1145242,.94494694,.034584835,.12829858
1307,4,1307,2001,90.722,163.11482,248.97279,292.71313,4.4308043,.90521806,.99509019,1.0795482,291,5.0100002,134.98607,405.04916,288.01913,667.83752,.30101749,137.47078,1.0882107,.92470837,.036815088,.11802484
1307,5,1307,2002,100.394,180.49159,284.68637,295.04224,4.6128569,.88943148,1.0123698,1.0882707,291,4.9320002,114.44053,405.1124,295.57932,768.02722,.30574208,149.46297,1.0604759,.93219256,.037415985,.11224796
1307,6,1307,2003,97.094002,126.69685,282.16492,441.08377,3.7647307,.86396813,.99961525,1.0716126,321,5.651,84.423943,312.04727,227.18718,1113.2069,.28381562,150.1635,1.0632651,.94953018,.021912234,.094953015
1307,7,1307,2004,101.765,210.54199,293.47659,449.07178,3.7283788,.90274763,1.0201359,1.0564951,381,5.598,65.97451,365.96198,272.603,1162.8203,.26282525,160.05122,1.0596117,.98377675,.010388349,.084145635
1307,8,1307,2005,104.13,142.55568,308.79941,398.69958,3.8336866,.9090817,1.0092953,.99395657,371,5.8280001,4.8015795,383.8898,218.04948,1149.824,.23724066,164.33517,1.0358827,.98373067,.0092033008,.079761952
1308,1,1308,1998,117.388,141.2597,288.69366,150.41829,4.1901202,1.0922559,1.002804,1.209956,230,4.724,155.84691,328.97433,352.79529,1013.1923,.31896701,125.15041,1.1840621,.96396303,.036486998,.081212997
1308,2,1308,1999,104.889,122.66103,251.77612,191.3996,4.1741505,.95379573,1.0021182,1.1574409,230,5.1350002,165.23192,272.37091,237.8456,1064.9929,.30489245,134.02843,1.1608925,.94919354,.035666667,.088591397
1308,3,1308,2000,81.462997,79.517403,289.16611,231.52017,4.2394314,.92932796,.99403507,1.0230417,230,4.7859998,173.43843,317.30118,238.39616,1223.8557,.30568531,133.79533,1.1145242,.93713742,.034584835,.089251183
1342,3,1342,2000,86.896004,284.20407,326.29184,238.01689,4.2394314,.92932796,.99403507,1.1234493,370,3.8729999,125.91891,462.62573,541.29651,2842.3628,.30456966,139.10466,1.1145242,.94494694,.034584835,.081441708
1342,4,1342,2001,103.202,274.689,374.62894,109.48546,4.4308043,.90521806,.99509019,1.0795482,370,4.237,167.57413,479.02579,533.25354,3113.7642,.30101749,137.47078,1.0882107,.92470837,.036815088,.088789329
1342,5,1342,2002,93.532997,416.06851,375.61349,267.24951,4.6128569,.88943148,1.0123698,1.0882707,540,4.3400002,157.50606,726.83258,556.24762,2901.8176,.30574208,149.46297,1.0604759,.93219256,.037415985,.088729337
1360,7,1360,2004,82.116997,165.3947,250.06416,65.767166,3.7283788,.90274763,1.0201359,1.0440291,165,3.7950001,114.85197,185.01163,316.68585,915.88672,.28671846,157.87383,1.0596117,.98273784,.010388349,.05609709
1360,8,1360,2005,92.086998,226.63554,231.17427,39.877048,3.8336866,.9090817,1.0092953,.99804693,165,3.26,133.29121,261.49948,298.81888,952.74695,.26076022,162.89639,1.0358827,.98475325,.0092033008,.057264991
1360,9,1360,2006,89.128998,157.50653,224.32336,21.699602,3.73,.92000002,1.002,1.002,165,3.089,114.11788,249.51801,251.30434,985.59448,.278,162.659,1.001,1,.012,.064999998
1361,7,1361,2004,118.298,149.63176,254.43381,60.430679,3.7283788,.90274763,1.0201359,1.0564951,257,3.02,158.52058,244.25131,237.51437,1591.2131,.26282525,160.05122,1.0596117,.98377675,.010388349,.039475728
1361,8,1361,2005,121.349,176.41959,240.67377,63.34362,3.8336866,.9090817,1.0092953,.99395657,257,2.8599999,166.31096,371.53534,222.32845,1491.338,.23724066,164.33517,1.0358827,.98373067,.0092033008,.042948741
1361,9,1361,2006,113.614,167.52718,239.79141,26.530069,3.73,.92000002,1.002,.98100001,257,2.9330001,160.67931,288.879,247.55434,1535.2804,.271,165.636,1.001,1,.012,.061000001
2231,1,2231,1998,86.112999,62.975956,303.27936,128.8371,4.1642261,1.0769551,1.002804,1.1993631,362,5.4099998,68.392639,307.82245,265.07431,1146.6663,.23422301,129.21576,1.1840621,.95454699,.03531,.114169
2231,2,2231,1999,89.103996,93.457115,309.93225,101.67685,4.2063656,.93883872,1.0021182,1.1677957,349,5.1560001,51.356792,300.04544,272.73041,1062.481,.23355913,140.25055,1.1608925,.93653768,.035666667,.11965592
2231,3,2231,2000,91.748001,149.7037,302.01572,196.69177,4.010725,.873546,.99403507,1.096674,314,4.8400002,70.557556,317.57297,268.17368,1086.1901,.23651564,134.53166,1.1145242,.93267494,.032353554,.1093327
2231,4,2231,2001,119.723,140.46469,299.34381,93.967545,4.1785126,.92037725,.99509019,1.0676376,324,5.4180002,58.34428,544.26508,269.72705,1287.6852,.2284701,135.86392,1.0882107,.91496325,.037897885,.10503128
2231,5,2231,2002,121.303,133.5278,291.1077,91.710022,4.3605661,.90332884,1.0123698,1.1096512,324,4.868,62.988914,385.05081,278.97397,1416.2865,.25977385,152.14302,1.0604759,.92577839,.037415985,.10904087
2231,6,2231,2003,110.416,179.44418,304.69833,197.35066,3.8419449,.86918533,.99961525,1.1039592,350,4.8720002,97.002937,446.99448,299.43216,1848.0792,.26712057,156.08502,1.0632651,.93909574,.021912234,.093909577
2231,7,2231,2004,130.284,135.1015,306.58655,127.95542,3.769932,.90066993,1.0201359,1.0253301,414,5.3600001,86.499016,433.62964,308.49713,1759.3938,.27113593,144.82918,1.0596117,.98169905,.010388349,.09453398
2231,8,2231,2005,117.646,150.12083,264.27457,127.18374,3.7549469,.88862991,1.0092953,1.0184987,414,4.5100002,62.995064,483.53943,277.49136,1798.7794,.27405387,167.93265,1.0358827,.98577583,.0092033008,.12986882
2231,9,2231,2006,125.803,129.01889,290.04993,189.9968,3.6110001,.89999998,1.002,.93599999,414,5.5840001,136.63235,448.548,288.80002,1520.1896,.264,167.343,1.001,1,.011,.15099999
2240,1,2240,1998,131.94901,162.36176,332.41196,72.791954,4.1642261,1.0769551,1.002804,1.1993631,266,7.3779998,252.7316,345.96423,350.89618,570.90875,.23422301,129.21576,1.1840621,.95454699,.03531,.10593001
2240,2,2240,1999,145.58299,171.83701,312.81976,53.640396,4.2063656,.93883872,1.0021182,1.1677957,266,7.7329998,280.19327,283.49139,440.44855,544.58423,.23355913,140.25055,1.1608925,.93653768,.035666667,.11620431
2240,3,2240,2000,136.686,205.70882,299.71384,72.272636,4.010725,.873546,.99403507,1.096674,262,6.9310002,249.98999,290.72607,402.90805,719.8551,.23651564,134.53166,1.1145242,.93267494,.032353554,.11602654
2240,4,2240,2001,133.265,182.15294,232.30576,64.634888,4.1785126,.92037725,.99509019,1.0676376,262,5.665,274.66864,385.89584,374.20233,754.61761,.2284701,135.86392,1.0882107,.91496325,.037897885,.12668721
